label,full_text,username,clean_text,stemmed_text
netral,Mohon maaf dengan gangguan insiden sistem BSI pada 8 Mei 2023 telah membuat transaksi terganggu. Dan alhamdulillah prosesnya saat ini sudah menuju 100 persen,,mohon maaf dengan gangguan insiden sistem bsi pada mei telah membuat transaksi terganggu dan alhamdulillah prosesnya saat ini sudah menuju persen,mohon maaf dengan ganggu insiden sistem bsi pada mei telah buat transaksi ganggu dan alhamdulillah proses saat ini sudah tuju persen
positif,Bank Syariah Indonesia akan terus mengedepankan keamanan siber,,bank syariah akan terus mengedepankan keamanan siber,bank syariah akan terus depan aman siber
netral,gaisss kaliann yang pake BSI udah bisa top up shopeepay sma goopay blm di mbankingnya\n#banksyariahindonesia,Talithaanrl,gaisss kaliann yang pake bsi udah bisa top up shopeepay sma goopay blm di mbankingnyan,gaisss kaliann yang pake bsi udah bisa top up shopeepay sma goopay blm di mbankingnyan
netral,Fully managed blockchain infrastructure dedicated to your Web3 projectâœ…\n\nMove your business to private RPC endpoints in minutes and enjoy unlimited access with no restrictions on requests,,fully managed blockchain infrastructure dedicated to your web projectâœnnmove your business to private rpc endpoints in minutes and enjoy unlimited access with no restrictions on requests,fully managed blockchain infrastructure dedicated to your web project nnmove your business to private rpc endpoints in minutes and enjoy unlimited access with no restrictions on requests
negatif,@BankSyariahIndonesia ini kenapa nih kok nggak bisa connect ke shoppe jadi mau bayar apa apa nggak bisa... Dari pada pecat pecat pecat mending perbaiki dulu tuh aplikasinya.. trus kalo Aceh nggak mau ada bank konvensional kita pulang lah ke medan,AdeeDilla,banksyariah ini kenapa nih kok nggak bisa connect ke shoppe jadi mau bayar apa apa nggak bisa dari pada pecat pecat pecat mending perbaiki dulu tuh aplikasinya trus kalo aceh nggak mau ada bank konvensional kita pulang lah ke medan,banksyariah ini kenapa nih kok nggak bisa connect ke shoppe jadi mau bayar apa apa nggak bisa dari pada pecat pecat pecat mending baik dulu tuh aplikasi trus kalo aceh nggak mau ada bank konvensional kita pulang lah ke medan
positif,Bank Syariah Indonesia menujukkan kepada masyarakat bahwa adanya peningkatan transaksi cashless. \n\n#banksyariahindonesia #kenalsyariah #syariahyuk #literasisyariah https://t.co/lcw6HFiMqp,syariahyuk,bank syariah menujukkan kepada masyarakat bahwa adanya peningkatan transaksi cashless nn ,bank syariah menujukkan kepada masyarakat bahwa ada tingkat transaksi cashless nn
netral,Sahabat Syariah Yuk,,sahabat syariah yuk,sahabat syariah yuk
netral,Unduh BSI Mobile secara resmi hanya di Play Store dan App Store ya!\n\n#BankSyariahIndonesia #HindariModusPenipuan #TransaksiAmanBarengBSI,bankbsi_id,unduh bsi mobile secara resmi hanya di play store dan app store yann ,unduh bsi mobile cara resmi hanya di play store dan app store yann
netral,â€œReputasi BSI harus dijaga dengan baik. Ini jadi bahan evaluasi dan kami tak ingin terulang lagi,,âœreputasi bsi harus dijaga dengan baik ini jadi bahan evaluasi dan kami tak ingin terulang lagi,reputasi bsi harus jaga dengan baik ini jadi bahan evaluasi dan kami tak ingin ulang lagi
netral,Indonesia's Biggest Islamic Bank Says Customer Data Safe Amid Reports of Breach https://t.co/XT7dEXG9Vs #BankSyariahIndonesia,KontanNews,s biggest islamic bank says customer data safe amid reports of breach ,s biggest islamic bank says customer data safe amid reports of breach
netral,Sistem keamanan BSI harus diinvestigasi. Setuju? #bsi #banksyariahindonesia #hack https://t.co/Bwlrr1c1Uo,DrSukamta,sistem keamanan bsi harus diinvestigasi setuju ,sistem aman bsi harus investigasi tuju
negatif,Beberapa hari ini nasabah Bank Syariah Indonesia (BSI) dibuat resah menyusul adanya gangguan sistem layanan bank syariah terbesar di Indonesia.\n \n#surabaya #bsi #banksyariahindonesia #cyber\nhttps://t.co/686FYlvSTL,CelahId,beberapa hari ini nasabah bank syariah bsi dibuat resah menyusul adanya gangguan sistem layanan bank syariah terbesar di n n n,beberapa hari ini nasabah bank syariah bsi buat resah susul ada ganggu sistem layan bank syariah besar di n n n
netral,#DYK,,,
positif,Mari kita berikan apresiasi setinggi-tingginya untuk para pemain dan staff pelatih atas perjuangannya. \n\nIndonesia Juara! \n\n#BankSyariahIndonesia\n#TumbuhSeimbangDanBerkelanjutan,bankbsi_id,mari kita berikan apresiasi setinggitingginya untuk para pemain dan staff pelatih atas perjuangannya nn juara nnn,mari kita ikan apresiasi setinggitingginya untuk para main dan staff latih atas juang nn juara nnn
netral,Jangan lupa untuk share informasi ini kepada kerabat terdekat kalian ya!\n\n#BankSyariahIndonesia #TumbuhSeimbangDanBerkelanjutan,bankbsi_id,jangan lupa untuk share informasi ini kepada kerabat terdekat kalian yann ,jangan lupa untuk share informasi ini kepada kerabat dekat kalian yann
positif,PT Bank Syariah Indonesia Tbk (BSI) telah selesai melakukan pelunasan 161.455 calon jemaah ibadah haji 1444 H atau 100 persen dari kuota haji yang diberikan pada BSI.\n\nhttps://t.co/Mu5Vnn7Dxg\n#banksyariahindonesia #BSI #haji https://t.co/MXXCZodj9p,_rakyatmerdeka,pt bank syariah tbk bsi telah selesai melakukan pelunasan calon jemaah ibadah haji h atau persen dari kuota haji yang diberikan pada bsinn ,pt bank syariah tbk bsi telah selesai laku lunas calon jemaah ibadah haji h atau persen dari kuota haji yang beri pada bsinn
netral,#Indonesia #IslamicBank #BankSyariahIndonesia \nBank Syariah Indonesia (BSI),, nbank syariah bsi,nbank syariah bsi
positif,BSI juga mengapresiasi nasabah yang sudah percaya kepada BSI.\n\n#BankSyariahIndonesia\n#TumbuhSeimbangDanBerkelanjutan,bankbsi_id,bsi juga mengapresiasi nasabah yang sudah percaya kepada bsinnn,bsi juga apresiasi nasabah yang sudah percaya kepada bsinnn
netral,#BankSyariahIndonesia #bsi BSI https://t.co/IV99iQGfmh,payaliko, bsi ,bsi
netral,PENCAIRAN PINJAMAN\nNASABA HARI INI\nðŸ†• Pencairan ðŸ’¯% Amanah\nðŸ‘‰ TGL :17-Mei-2023\nðŸ”› Bagi Nasaba Yang Sudah Mengajukan Pinjaman\nSilahkan Di Cek Rekeningnya Masing-masing\n\nMinat Ajukan Pinjaman \nSilahkan Hubungi/Chat\nWhatsApp : +6282210991379\nAmanah&amp;Terpercaya\n#BankSyariahIndonesia https://t.co/IVbIPI1h0U,Pinjaman_0nline,pencairan pinjamannnasaba hari ininðÿ pencairan ðÿ amanahnðÿ tgl meinðÿ bagi nasaba yang sudah mengajukan pinjamannsilahkan di cek rekeningnya masingmasingnnminat ajukan pinjaman nsilahkan hubungichatnwhatsapp namanahampterpercayan ,cair pinjamannnasaba hari inin cair amanahn tgl mein bagi nasaba yang sudah aju pinjamannsilahkan di cek rekening masingmasingnnminat aju pinjam nsilahkan hubungichatnwhatsapp namanahampterpercayan
netral,Gold And Silver Take A Beating - Here's Why?\n\nhttps://t.co/UBc4eP2Dne\n\n#Silver #Gold #BankofBaroda #BankSyariahIndonesia #BankNiftyOptions https://t.co/MZyZF7ultk,a7medtrade,gold and silver take a beating heres whynn ,gold and silver take a beating heres whynn
netral,@bankbsi_id BSI,,bankbsi_id bsi,bankbsi id bsi
positif,Lohh padahal data udah bocor masih tetap aman ðŸ˜¬\nhttps://t.co/xIgLOAxKTx\n#bsi \n#BankSyariahIndonesia \n#Bocor \n#lockbit \n#Hacking \n#hacker,Daffanha,lohh padahal data udah bocor masih tetap aman ðÿn n n n n n,lohh padahal data udah bocor masih tetap aman n n n n n n
netral,Direktorat Tindak Pidana Siber (Dittipidsiber) Bareskrim Polri mulai melakukan penyelidikan atas kasus dugaan serangan ransomware yang dialami Bank Syariah Indonesia (BSI).\n\n#BankSyariahIndonesia \n#seranganransomware\n#backupdata\n#ubahkatasandi\n#BSI\n\nhttps://t.co/EwowTPUckW,rienewsdotcom,direktorat tindak pidana siber dittipidsiber bareskrim polri mulai melakukan penyelidikan atas kasus dugaan serangan ransomware yang dialami bank syariah bsinn nnnnnn,direktorat tindak pidana siber dittipidsiber bareskrim polri mulai laku lidi atas kasus duga serang ransomware yang alami bank syariah bsinn nnnnnn
netral,Tim Siber Polri Turun Selidiki Serangan Hacker ke BSI,,tim siber polri turun selidiki serangan hacker ke bsi,tim siber polri turun selidik serang hacker ke bsi
netral,Jangan lupa untuk sebarkan informasi ini kepada orang-orang terdekat kalian ya,,jangan lupa untuk sebarkan informasi ini kepada orangorang terdekat kalian ya,jangan lupa untuk sebar informasi ini kepada orangorang dekat kalian ya
negatif,Apa itu Ransomware? Kejadian ini sedang marak di Indonesia. Nah,,apa itu ransomware kejadian ini sedang marak di nah,apa itu ransomware jadi ini sedang marak di nah
netral,@BankofIndia_IN \nBakvash bak \nBank chalana ban kardo ya aache logo ko rakho \n#boi #banknifty #BankSyariahIndonesia #bankniftyoption,Parvesh81081370,bankofindia_in nbakvash bak nbank chalana ban kardo ya aache logo ko rakho n ,bankofindia in nbakvash bak nbank chalana ban kardo ya aache logo ko rakho n
negatif,Pemerintah diminta lebih peka terhadap perkembangan ancaman siber. Hal itu berkaca dari kasus peretasan sistem Bank Syariah Indonesia (BSI).\n\n#BankSyariahIndonesia\n\nhttps://t.co/bjXDUVDQ2N,medcom_id,pemerintah diminta lebih peka terhadap perkembangan ancaman siber hal itu berkaca dari kasus peretasan sistem bank syariah bsinnnn,perintah minta lebih peka hadap kembang ancam siber hal itu kaca dari kasus retas sistem bank syariah bsinnnn
negatif,The negotiation period has ended,,the negotiation period has ended,the negotiation period has ended
netral,Kasus peretasan sistem Bank Syariah Indonesia (BSI) diharapkan tidak terulang. Sebab,,kasus peretasan sistem bank syariah bsi diharapkan tidak terulang sebab,kasus retas sistem bank syariah bsi harap tidak ulang sebab
negatif,Setelah kabar BSI atau Bank Syariah Indonesia mengalami error,,setelah kabar bsi atau bank syariah mengalami error,telah kabar bsi atau bank syariah alami error
netral,Hal ini dilakukan setelah tuntutan kelompok ransomware LockBit,,hal ini dilakukan setelah tuntutan kelompok ransomware lockbit,hal ini laku telah tuntut kelompok ransomware lockbit
netral,According to the ransomware group,,according to the ransomware group,according to the ransomware group
netral,Selain rajin mengubah kata sandi dan autentifikasi dua langkah,,selain rajin mengubah kata sandi dan autentifikasi dua langkah,selain rajin ubah kata sandi dan autentifikasi dua langkah
netral,BELAJAR DARI KRISIS BSI: ANTARA KEAMANAN SIBER DAN KOMUNIKASI KRISIS https://t.co/xfO36P4hzm via @mixmarcomm @BSI @BankSyariahIndonesia,edhy_aruman,belajar dari krisis bsi antara keamanan siber dan komunikasi krisis via mixmarcomm bsi banksyariah,ajar dari krisis bsi antara aman siber dan komunikasi krisis via mixmarcomm bsi banksyariah
netral,Pertumbuhan Ekonomi Indonesia Bersama Masyarakat Ekonomi Syariah https://t.co/HPDkO6uCrz #BankSyariahIndonesia #EkonomiSyariah #ErickThohir #MesutOzil,fajaronline,pertumbuhan ekonomi bersama masyarakat ekonomi syariah ,tumbuh ekonomi sama masyarakat ekonomi syariah
negatif,#SSInfo: File yang diduga berisikan data nasabah Bank Syariah Indonesia telah diterbitkan ke dark web. Hal ini diketahui melalui postingan Twitter DarkTracer_Int pada Selasa (16/5/2023) pukul 07.03 WIB yang menuliskan Periode negoisasi telah usai,, file yang diduga berisikan data nasabah bank syariah telah diterbitkan ke dark web hal ini diketahui melalui postingan twitter darktracer_int pada selasa pukul wib yang menuliskan periode negoisasi telah usai,file yang duga risi data nasabah bank syariah telah terbit ke dark web hal ini tahu lalu postingan twitter darktracer int pada selasa pukul wib yang tulis periode negoisasi telah usai
netral,eXateâ€™s API and data protection solution APIgator helps financial institutions looking for an end-to-end solution to fully protect data flowing through their APIs.\n\n#fintechwebinar #dataaggregation #digitaltransformationplatfom #fintechs #BankSyariahIndonesia \n\n2/2,Naya_One,exateâs api and data protection solution apigator helps financial institutions looking for an endtoend solution to fully protect data flowing through their apisnn nn,exate s api and data protection solution apigator helps financial institutions looking for an endtoend solution to fully protect data flowing through their apisnn nn
netral,Begini Tanggapan BSSN Atas Dugaan Insiden Siber Pada BSI https://t.co/8eSyarJmiI #BankSyariahIndonesia,KontanNews,begini tanggapan bssn atas dugaan insiden siber pada bsi ,begini tanggap bssn atas duga insiden siber pada bsi
negatif,Perbankan pelat merah alias milik negara ini diduga diretas,,perbankan pelat merah alias milik negara ini diduga diretas,perban pelat merah alias milik negara ini duga retas
negatif,Apa Itu Ransomware LockBit? Serangan Cyber yang Mengancam 15 Juta Data BSI\n \nhttps://t.co/vreaIUEFkI via @TribunLombokcom \n\n#LockBit #LockBit30 #BSI #Ransomware #banksyariahIndonesia,TribunLombokcom,apa itu ransomware lockbit serangan cyber yang mengancam juta data bsin n via tribunlombokcom nn ,apa itu ransomware lockbit serang cyber yang ancam juta data bsin n via tribunlombokcom nn
netral,Bank logs available â¤ï¸ðŸ’¯ #BankSyariahIndonesia #log #UnitedStates https://t.co/ClZoo5f8kp,molafal,bank logs available âïðÿ ,bank logs available
negatif,Ancaman penyebaran atau jual beli data apabila tidak membayar uang tebusan menjadi modus pelaku kejahatan siber. Lebih baik bayar atau tidak?\n\n#seranganransomware\n#BankSyariahIndonesia \n#janganbayartebusan\n  \nhttps://t.co/GVVAi0RdcB,rienewsdotcom,ancaman penyebaran atau jual beli data apabila tidak membayar uang tebusan menjadi modus pelaku kejahatan siber lebih baik bayar atau tidaknnn nn n,ancam sebar atau jual beli data apabila tidak bayar uang tebus jadi modus laku jahat siber lebih baik bayar atau tidaknnn nn n
negatif,Negosiasi Gagal,,negosiasi gagal,negosiasi gagal
netral,#bsi #bris #bsidown #BankSyariahIndonesia,d3vinaw, ,
negatif,Waduh,,waduh,waduh
negatif,Lockbit akui retas 1,,lockbit akui retas ,lockbit aku retas
netral,Kasus peretasan sistem Bank Syariah Indonesia (@bankbsi_id) diharapkan tidak terulang. Pemerintah dan Otoritas Jasa Keuangan (@ojkindonesia) perlu mendukung pembenahan dan mencari akar masalah sistem keamanan BSI.\n\nhttps://t.co/yGTpCbbBzp\n\n#Peretasan #BSI #BankSyariahIndonesiaâ€¦ https://t.co/CjklhUpGAL,Metro_TV,kasus peretasan sistem bank syariah bankbsi_id diharapkan tidak terulang pemerintah dan otoritas jasa keuangan ojkindonesia perlu mendukung pembenahan dan mencari akar masalah sistem keamanan bsinn ,kasus retas sistem bank syariah bankbsi id harap tidak ulang perintah dan otoritas jasa uang ojkindonesia perlu dukung benah dan cari akar masalah sistem aman bsinn
negatif,Nasabah Ngaku Uangnya Raib Ratusan Juta,,nasabah ngaku uangnya raib ratusan juta,nasabah ngaku uang raib ratus juta
negatif,#StopBayarPajak\n#BankSyariahIndonesia \n#OpIndonesia \n@Dan4Indonesia rumah sakit lu ancur cuk hahaha ðŸ˜† bank syariah indonesia lu juga ancur cuk hehehe . kalian kalah telak dasar lamer indonesia tak berguna \nðŸ˜†https://t.co/PrcR26gXXw,RendyWi67527372,n n ndan rumah sakit lu ancur cuk hahaha ðÿ bank syariah indonesia lu juga ancur cuk hehehe kalian kalah telak dasar lamer indonesia tak berguna nðÿ,n n ndan rumah sakit lu ancur cuk hahaha bank syariah indonesia lu juga ancur cuk hehehe kalian kalah telak dasar lamer indonesia tak guna n
netral,Pemerintah diminta lebih peka terhadap perkembangan ancaman siber. Hal itu berkaca dari kasus peretasan sistem Bank Syariah Indonesia (BSI).\n\n#BankSyariahIndonesia \n\nhttps://t.co/bjXDUVEnSl,medcom_id,pemerintah diminta lebih peka terhadap perkembangan ancaman siber hal itu berkaca dari kasus peretasan sistem bank syariah bsinn nn,perintah minta lebih peka hadap kembang ancam siber hal itu kaca dari kasus retas sistem bank syariah bsinn nn
netral,Untuk buka rekening di @bankbsi_id per hari ini Senin 15 Mei 2023 apa sudah bisa ya ? #BSI #banksyariahindonesia,Novie_Alf,untuk buka rekening di bankbsi_id per hari ini senin mei apa sudah bisa ya ,untuk buka rekening di bankbsi id per hari ini senin mei apa sudah bisa ya
negatif,Dia pun kembali menegaskan bahwa wacana perubahan Qanun LKS untuk menghapus substansi syariat Islam yang terkandung di dalamnya.\n#BankSyariahIndonesia #BankBSI #HARAM #DPRA #partaiaceh #Å‚ks \nhttps://t.co/4Ul83TFdYw,infoacehmedia,dia pun kembali menegaskan bahwa wacana perubahan qanun lks untuk menghapus substansi syariat islam yang terkandung di dalamnyan ks n,dia pun kembali tegas bahwa wacana ubah qanun lks untuk hapus substansi syariat islam yang kandung di dalamnyan ks n
negatif,PT Bank Syariah Indonesia Tbk. alias #BSI jadi trending topic di social media Twitter Indonesia sejak Senin kemarin.\n\nPenyebabnya tak bisa digunakannya berbagai layanan bank tersebut,,pt bank syariah tbk alias jadi trending topic di social media twitter sejak senin kemarinnnpenyebabnya tak bisa digunakannya berbagai layanan bank tersebut,pt bank syariah tbk alias jadi trending topic di social media twitter sejak senin kemarinnnpenyebabnya tak bisa guna bagai layan bank sebut
negatif,Lantaran BSI rentan peretasan,,lantaran bsi rentan peretasan,lantar bsi rentan retas
negatif,Serangan Siber Sasar Perbankan,,serangan siber sasar perbankan,serang siber sasar perban
negatif,Nah,,nah,nah
netral,ðŸŽ‰Process Hazard Analysis\n\n#PHA #ProcessHazardAnalysis #RiskManagement #HazardIdentification #HazardAnalysis #ProcessSafety #PHAWorkshop\n#SafetyCulture #HazardMitigation #OperationalSafety #PHATraining #ProcessRiskAnalysis #ProcessSafetyManagement #BankSyariahIndonesia #Coldplay https://t.co/9GNAiBUwdX,mairoditraining,ðÿžprocess hazard analysisnn n ,process hazard analysisnn n
negatif,BSI Mobile gua kekny udh seminggu lebih error deh. Emg jarang buka jga si,,bsi mobile gua kekny udh seminggu lebih error deh emg jarang buka jga si,bsi mobile gua kekny udh minggu lebih error deh emg jarang buka jga si
netral,Hingga hari Minggu siang,,hingga hari minggu siang,hingga hari minggu siang
netral,Mau tanya,,mau tanya,mau tanya
netral,Gold And Silver Make Big News In Texas\n\nhttps://t.co/jZstMqnX3u\n\n#Gold #Silver #Texas #BankSyariahIndonesia #banknifty https://t.co/6DPWh3JDeI,a7medtrade,gold and silver make big news in texasnn ,gold and silver make big news in texasnn
netral,Mengenal LockBit,,mengenal lockbit,kenal lockbit
negatif,Soal Serangan Ransomware,,soal serangan ransomware,soal serang ransomware
netral,Zimbabwe DEFIES The IMF Again\n\nhttps://t.co/E0AhbOEDu3\n\n#Zimbabwe #IMF #BankSyariahIndonesia #Gold https://t.co/ZBaVE50wu1,a7medtrade,zimbabwe defies the imf againnn ,zimbabwe defies the imf againnn
netral,Peretasan perbankan di Indonesia berulang kali terjadi. Pemerintah dan perbankan harus serius mencari solusi dan langkah antisipasi.\n\n#Ransomware \n#BankSyariahIndonesia \n#perbankanIndonesia\n\nhttps://t.co/790sJogceR,rienewsdotcom,peretasan perbankan di berulang kali terjadi pemerintah dan perbankan harus serius mencari solusi dan langkah antisipasinn n nnn,retas perban di ulang kali jadi perintah dan perban harus serius cari solusi dan langkah antisipasinn n nnn
netral,ðŸ”’ðŸ˜± LockBit,,ðÿðÿ lockbit,lockbit
negatif,#StopBayarPajak\n#BankSyariahIndonesia \n#OpIndonesia \n@awbimaxx \n@Dan4Indonesia \n@p4c3n0g3 \n@secgron https://t.co/qT9V3rAhS9,RendyWi67527372,n n nawbimaxx ndan npcng nsecgron ,n n nawbimaxx ndan npcng nsecgron
negatif,BSI confirm mereka kena serangan ransomware. Geng hacker LockBit ngaku mereka yang bikin sistem BSI down.\n\nYang saldonya 12ribu diem dulu. https://t.co/1oUhXhRbIR,sekolahkriptoid,bsi confirm mereka kena serangan ransomware geng hacker lockbit ngaku mereka yang bikin sistem bsi downnnyang saldonya ribu diem dulu ,bsi confirm mereka kena serang ransomware geng hacker lockbit ngaku mereka yang bikin sistem bsi downnnyang saldo ribu diem dulu
negatif,Gangguan Layanan BSI,,gangguan layanan bsi,ganggu layan bsi
negatif,BSI Mobile Kena Serangan Lockbit,,bsi mobile kena serangan lockbit,bsi mobile kena serang lockbit
netral,Kalian bisa cek siaran pers resmi dari web ojk tentang bsi\nhttps://t.co/j2SRNhGcK1\n#BankSyariahIndonesia #BSI #bsimobile #ojk,Anisa51846084,kalian bisa cek siaran pers resmi dari web ojk tentang bsin ,kalian bisa cek siar pers resmi dari web ojk tentang bsin
netral,Agar tetap aman,,agar tetap aman,agar tetap aman
negatif,Hacker Mengaku Curi 1,,hacker mengaku curi ,hacker aku curi
negatif,#StopBayarPajak\n#OpIndonesia\n#BankSyariahIndonesia \n@Dan4Indonesia security just ilusion and bulshit right dudes ? gue tunjukkan teknik hijacking botnet and ransomware yg paling mematikan dan berbahaya . gua buat your badgov bertekuk lutut memohon maaf pada israel yg kalian usir. https://t.co/PYAFXAJG0y,RendyWi67527372,nn ndan security just ilusion and bulshit right dudes gue tunjukkan teknik hijacking botnet and ransomware yg paling mematikan dan berbahaya gua buat your badgov bertekuk lutut memohon maaf pada israel yg kalian usir ,nn ndan security just ilusion and bulshit right dudes gue tunjuk teknik hijacking botnet and ransomware yg paling mati dan bahaya gua buat your badgov tekuk lutut mohon maaf pada israel yg kalian usir
netral,If there is no negotiation with us,,if there is no negotiation with us,if there is no negotiation with us
negatif,#StopBayarPajak\n#BankSyariahIndonesia \n#OpIndonesia \n@Dan4Indonesia kupastikan people indonesia panik dan jatuh miskin seperti palestina by me Hmei7 | Bjorka . kami gempur dengan carding frauding scaming etc we are hacktivist anonymous israel elite force mossad welcome cyber war. https://t.co/CrFG3Frz0P,RendyWi67527372,n n ndan kupastikan people indonesia panik dan jatuh miskin seperti palestina by me hmei bjorka kami gempur dengan carding frauding scaming etc we are hacktivist anonymous israel elite force mossad welcome cyber war ,n n ndan pasti people indonesia panik dan jatuh miskin seperti palestina by me hmei bjorka kami gempur dengan carding frauding scaming etc we are hacktivist anonymous israel elite force mossad welcome cyber war
negatif,WOY BSI KAPAN NORMAL ! ðŸ¤¬ #BSI #BankSyariahIndonesia #BankBSIdzolim #bsierror #bsimobile,_watert,woy bsi kapan normal ðÿ ,woy bsi kapan normal
negatif,15 Juta Data Karyawan dan Nasabah Bank Syariah Indonesia Bocor #BankSyariahIndonesia #ransomware #BSI https://t.co/l4T8JriZDm,ceklissatucom, juta data karyawan dan nasabah bank syariah bocor ,juta data karyawan dan nasabah bank syariah bocor
negatif,#StopBayarPajak\n#BankSyariahIndonesia \n#OpIndonesia\n@Dan4Indonesia semakin ikut campur maka kami agen mossad indosrael akan gempur terus cyber space digital indonesia dgn hijacking botnet and ransomware juga carding dan frauding etc so\nfuck @jokowi idiotic https://t.co/Vha9pg9hLY,RendyWi67527372,n nndan semakin ikut campur maka kami agen mossad indosrael akan gempur terus cyber space digital indonesia dgn hijacking botnet and ransomware juga carding dan frauding etc sonfuck jokowi idiotic ,n nndan makin ikut campur maka kami agen mossad indosrael akan gempur terus cyber space digital indonesia dgn hijacking botnet and ransomware juga carding dan frauding etc sonfuck jokowi idiotic
positif,Layanan BSI Berangsur Membaik,,layanan bsi berangsur membaik,layan bsi angsur baik
netral,Ransomware LockBit mengklaim menjadi dalang dan bertanggung jawab atas pencurian data Bank Syariah Indonesia (BSI).\n\nhttps://t.co/Ul3zOO0ewT\n\n#ransomware #lockbit #banksyariahindonesia #hacker #datapribadi #nasabah #tebusan #bank https://t.co/f5EWvKD0FW,suaramerdeka,ransomware lockbit mengklaim menjadi dalang dan bertanggung jawab atas pencurian data bank syariah bsinn ,ransomware lockbit klaim jadi dalang dan tanggung jawab atas curi data bank syariah bsinn
negatif,#StopBayarPajak\n#BankSyariahIndonesia \n#OpIndonesia\n@Dan4Indonesia \n@awbimaxx gue lucuk liat tingkah badgov idiot ðŸ˜ sok ngusir israel . gua hajar bank pakek teknik hijacking botnet and ransomware semua people panik . gue gempur carding dan frauding etc ðŸ¥· https://t.co/DuHMp6lMhe,RendyWi67527372,n nndan nawbimaxx gue lucuk liat tingkah badgov idiot ðÿ sok ngusir israel gua hajar bank pakek teknik hijacking botnet and ransomware semua people panik gue gempur carding dan frauding etc ðÿ ,n nndan nawbimaxx gue lucuk liat tingkah badgov idiot sok ngusir israel gua hajar bank pakek teknik hijacking botnet and ransomware semua people panik gue gempur carding dan frauding etc
